S. No.,Month ,Crash Date,Crash Day,Article Date ,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type
2122,May,14 May 23,Sunday,16 May 23,Alimudinpur,Nil,Haryana,"28.433092443942915, 76.77249975598184",Two Wheeler,Two Wheeler,1,0,45,Male,OR,Head On Collision 
2123,May,14 May 23,Sunday,16 May 23,Farukh Nagar,Nil,Haryana,"28.446692741063604, 76.82678614415475",Two Wheeler,Car,2,0,"59,19",Male,OR,Head On Collision 
2124,May,16 May 23,Tuesday,17 May 23,Sorubhogia,Nil,Assam,"26.58042910620352, 92.97227385644999",Car,Truck,1,0,NA,Female,NH,Head On Collision 
2125,May,17 May 23,Wednesday,17 May 23,Pallipadu,Nil,Telangana,"17.209109244273062, 80.325958696251",Auto Rickshaw,Truck,6,6,NA,Female,SH,Others
2126,May,15 May 23,Monday,17 May 23,Bambooliya,Nil,Rajasthan,"25.57648446034837, 76.33329118678887",Two Wheeler,Unidentified,2,0,"21,19",Male,SH,Hit and Run
2127,May,16 May 23,Tuesday,17 May 23,Yernagudem,Nil,Andhra Pradesh,"17.00076294621888, 81.5062003930243",Car,Lorry,3,1,"47,30,32",Both,SH,Others
2128,May,15 May 23,Monday,17 May 23,Muttarasanallur,Nil,Tamil Nadu,"10.866736127743652, 78.64833877259802",Two Wheeler,Truck,2,1,"30,1",Female,NH,Hit From Side
2129,May,18 May 23,Thursday,18 May 23,Maksi,Nil,Madhya Pradesh,"23.26370761395095, 76.14744145850553",Bus,Tractor,5,12,"35,12,25,28,22",Both,NH,Head On Collision 
2130,May,17 May 23,Wednesday,18 May 23,Pondugala,Nil,Andhra Pradesh,"16.67926935007853, 79.66248211341204",Auto Rickshaw,Lorry,6,12,"25,26,35,50,30",Male,NH,Head On Collision 
2131,May,17 May 23,Wednesday,18 May 23,Kailash nagar Road,Ludhiana,Punjab,"30.946015011751513, 75.87469597708284",Bicycle,Truck,1,0,13,Male,OR,Hit From Back
2132,May,14 May 23,Sunday,19 May 23,Bali Temple Chowk,Nashik,Maharashtra,"20.019610619058987, 73.83157767368121",Pedestrian,Car,1,0,55,Female,NH,Hit and Run
2133,May,18 May 23,Thursday,19 May 23,Maraila,Nil,Bihar,"25.158006354303094, 84.57618368224203",Pedestrian,Truck,2,3,"7,8",Female,OR,Hit and Run
2134,May,18 May 23,Thursday,20 May 23,Potheri,Nil,Tamil Nadu,"12.823057474988138, 80.03896235121917",Car,Divider,1,3,21,Female,NH,Fixed Object Collision
2135,May,19 May 23,Friday,20 May 23,Khanapur,Hyderabad,Telangana,"17.399204732101218, 78.2978296792505",Car,Truck,4,8,21,Male,OR,Head On Collision 
2136,May,19 May 23,Friday,20 May 23,Pandav Gufa ,Nil,Madhya Pradesh,"22.458929431952306, 78.43159187029599",Two Wheeler,Bus,2,1,NA,Male,OR,Others
2137,May,19 May 23,Friday,20 May 23,Amkha Jamkha Temple,Nil,Madhya Pradesh,"22.546919588305357, 75.11433040537862",Two Wheeler,Van,2,0,NA,Male,SH,Others
2138,May,19 May 23,Friday,21 May 23,Avinashi,Nil,Tamil Nadu,"11.178657535974327, 77.28351918035565",Two Wheeler,Truck,1,0,29,Male,NH,Head On Collision 
2139,May,21 May 23,Sunday,21 May 23,Dau Ki Dhani,Jodhpur,Rajasthan,"26.289380122248215, 72.98903516477132",Pedestrian,Car,3,3,NA,Both,OR,Hit and Run
2140,May,20 May 23,Saturday,21 May 23,Allapalli,Nil,Telangana,"17.831677149948206, 80.47934896924103",Pedestrian,Truck,1,0,NA,Male,OR,Hit and Run
2141,May,19 May 23,Friday,21 May 23,Barabanki,Nil,Uttar Pradesh,"26.926113113328356, 81.19154588524788",Two Wheeler,Divider,2,0,"50,46",Both,OR,Fixed Object Collision
2142,May,19 May 23,Friday,21 May 23,Panjappur,Nil,Tamil Nadu,"10.746921559423647, 78.6455010530811",Pedestrian,Unidentified,1,0,78,Male,NH,Hit and Run
2143,May,19 May 23,Friday,21 May 23,Kondayampatti,Nil,Tamil Nadu,"10.051890874482725, 78.02665165658672",Two Wheeler,Car,1,2,42,Female,OR,Hit From Back
2144,May,20 May 23,Saturday,21 May 23,Hathnewra,Nil,Chhattisgarh,"21.99116294346415, 82.67920013557844",Truck,Truck,3,1,"19,27",Male,OR,Head On Collision 
2145,May,21 May 23,Sunday,22 May 23,Turra ,Nil,Uttar Pradesh,"25.253720506975284, 80.62226774171855",Car,Tree,4,3,"48,65,70",Both,OR,Fixed Object Collision
2146,May,21 May 23,Sunday,22 May 23,Moti Nagar Metro Station,Delhi,Delhi,"28.657938863884233, 77.14284095346959",Two Wheeler,Car,1,0,36,Male,OR,Head On Collision 
2147,May,21 May 23,Sunday,22 May 23,Sector 44,Chandigarh,Chandigarh,"30.712085035693633, 76.75594125815886",Two Wheeler,Car,1,0,78,Male,OR,Hit From Back
2148,May,21 May 23,Sunday,22 May 23,Crown Plaza,Delhi,Delhi,"28.528629314704364, 77.27201529697041",Two Wheeler,Unidentified,1,0,30,Male,OR,Hit and Run
2149,May,20 May 23,Saturday,22 May 23,Thimmanayakanpatti,Nil,Tamil Nadu,"11.584178081246849, 78.43565184391947",Two Wheeler,Two Wheeler,2,1,"60,25",Male,SH,Others
2150,May,22 May 23,Monday,22 May 23,Bahiyari Baghel,Nil,Uttar Pradesh,"26.27985704650891, 84.02809963900654",Car,Truck,5,2,NA,Female,NH,Head On Collision 
2151,May,20 May 23,Saturday,22 May 23,Bilhaur,Nil,Uttar Pradesh,"26.840230265993203, 80.06125384380458",Pedestrian,Unidentified,2,0,NA,Male,SH,Hit and Run
2152,May,21 May 23,Sunday,22 May 23,Sukhalpur,Nil,Madhya Pradesh,"23.15479893747073, 80.02441612541712",Two Wheeler,Unidentified,3,0,"25,26,25",Male,OR,Hit and Run
2153,May,21 May 23,Sunday,22 May 23,NIBM Road,Pune,Maharashtra,"18.465853555443914, 73.90236271808875",Two Wheeler,Bus,1,2,37,Male,OR,Others
2154,May,22 May 23,Monday,23 May 23,Singhpur Intersection,Kanpur,Uttar Pradesh,"26.52308826379063, 80.25936286737951",Car,Truck,1,5,48,Female,OR,Head On Collision 
2155,May,23 May 23,Tuesday,23 May 23,Sindkhed Raja,Nil,Maharashtra,"19.9557426189721, 76.12676823183878",Bus,Truck,6,10,NA,NA,NH,Others
2156,May,23 May 23,Tuesday,23 May 23,Bhagirthipet,Nil,Telangana,"18.254448229292652, 79.79804790757784",Two Wheeler,Bus,2,0,"60,14",Both,NH,Hit From Back
2157,May,21 May 23,Sunday,23 May 23,Raghunath Mall,Nil,Uttarakhand,"29.919611675072307, 78.05949750276415",Car,Nil,3,0,"29,23,23",Male,NH,Run Off Road
2158,May,22 May 23,Monday,23 May 23,Kalyan Tola,Nil,Bihar,"25.29871835646036, 86.56513074018348",Tractor,Truck,2,19,"4,60",Female,OR,Head On Collision 
2159,May,23 May 23,Tuesday,23 May 23,Daryapur-Anjanpur Road,Nil,Maharashtra,"20.933124777983238, 77.31047292439219",Car,Truck,5,7,NA,Both,SH,Others
2160,May,21 May 23,Sunday,23 May 23,Samrala-Khanna Road ,Nil,Punjab,"30.720272946060447, 76.21287250565365",Pedestrian,Car,2,1,25,Male,OR,Hit and Run
2161,May,22 May 23,Monday,23 May 23,Ananthasagar,Nil,Telangana,"18.185689871947872, 78.99827938163496",Two Wheeler,Unidentified,2,0,"26,23",Male,SH,Hit and Run
2162,May,23 May 23,Tuesday,24 May 23,Dwarka Flyover ,Nashik,Maharashtra,"19.995374057489297, 73.79922775340391",Pedestrian,Truck,2,2,"29,7",Female,NH,Hit From Back
2163,May,24 May 23,Wednesday,24 May 23,Dachan,Nil,Jammu,"33.974810793483904, 74.59033277424749",Car,Gorge,7,3,NA,NA,OR,Vehicle Overturn
2164,May,22 May 23,Monday,24 May 23,Pragati Maidan Tunnel,Delhi,Delhi,"28.61638510313593, 77.23915280946918",Two Wheeler,Crash Barrier,1,0,19,Male,OR,Fixed Object Collision
2165,May,23 May 23,Tuesday,24 May 23,Ahirwan Petrol Pump,Kanpur,Uttar Pradesh,"26.39260624312494, 80.40648150720796",Auto Rickshaw,Truck,2,5,"16,25",Both,NH,Head On Collision 
2166,May,24 May 23,Wednesday,25 May 23,Gavhan Phata,Mumbai,Maharashtra,"18.959125416155533, 73.03754264490712",Truck,Truck,1,0,52,Male,NH,Hit From Back
2167,May,24 May 23,Wednesday,25 May 23,Pudukkottai,Nil,Tamil Nadu,"10.383572324507266, 78.80021343583162",Car,Bus,2,3,NA,Male,OR,Hit From Side
2168,May,24 May 23,Wednesday,25 May 23,Thiruvaiyaru,Nil,Tamil Nadu,"10.87957559210605, 79.10592880631965",Two Wheeler,Truck,2,0,"23,18",Male,SH,Head On Collision 
2169,May,25 May 23,Thursday,25 May 23,Malegaon Phata,Nil,Maharashtra,"20.96527777650913, 76.04176327335774",Truck,Truck,4,1,NA,NA,SH,Hit From Back
2170,May,25 May 23,Thursday,25 May 23,Welcome Metro Station,Delhi,Delhi,"28.67231676164302, 77.27617292569107",Truck,Truck,2,4,NA,Male,OR,Hit From Back
2171,May,24 May 23,Wednesday,25 May 23,Umaria ,Nil,Madhya Pradesh,"23.54055054162176, 80.85060766024782",Bus,Nil,3,4,NA,Both,NH,Run Off Road
2172,May,24 May 23,Wednesday,25 May 23,Khandwa,Nil,Madhya Pradesh,"21.827937304606596, 76.35258632220565",Auto Rickshaw,Truck,4,2,NA,Both,OR,Others
2173,May,23 May 23,Tuesday,25 May 23,Padi Flyover,Chennai,Tamil Nadu,"13.102038565817605, 80.19456946948829",Two Wheeler,Van,1,1,33,Male,NH,Hit From Side
2174,May,24 May 23,Wednesday,25 May 23,Pilkhuni,Nil,Uttar Pradesh,"28.052591408060994, 78.29483000047574",Car,Tree,4,1,"22,23,21,25",Male,OR,Fixed Object Collision
2175,May,24 May 23,Wednesday,26 May 23,Trimbak Road,Nashik,Maharashtra,"19.98531286231017, 73.72266561422636",Two Wheeler,Divider,2,0,"23,22",Male,NH,Fixed Object Collision
2176,May,25 May 23,Thursday,26 May 23,PU Patiala,Nil,Punjab,"30.3552132898427, 76.45288901520625",Car,Divider,1,3,20,Female,NH,Fixed Object Collision
2177,May,24 May 23,Wednesday,26 May 23,Amaltas Hotel,Indore,Madhya Pradesh,"22.73001473024037, 75.88893329697535",Two Wheeler,Van,1,2,19,Male,OR,Others
2178,May,26 May 23,Friday,27 May 23,Pathak Para,Kolkata,West Bengal,"22.507262235093524, 88.31799068197438",Two Wheeler,Car,1,5,40,Female,OR,Hit From Back
2179,May,26 May 23,Friday,27 May 23,Ladpura,Nil,Uttar Pradesh,"28.430318137116966, 77.58849206933408",Bus,Truck,1,27,11,Male,OR,Head On Collision 
2180,May,26 May 23,Friday,27 May 23,Vadgam,Nil,Gujarat,"24.07743199621307, 72.4930467900081",Van,Nil,2,5,NA,NA,OR,Run Off Road
2181,May,25 May 23,Thursday,27 May 23,Lohia Nagar,Nil,Uttarakhand,"28.924500965627992, 80.02175010701443",Car,Gorge,5,0,"34,10,7,5,40",Both,OR,Vehicle Overturn
2182,May,27 May 23,Saturday,28 May 23,Prithviganj bazar,Nil,Uttar Pradesh,"25.857059061121298, 82.03654266740922",Two Wheeler,Car,4,4,"40,37,5,8",Both,OR,Others
2183,May,27 May 23,Saturday,28 May 23,Manasa-Mandsaur Road,Nil,Madhya Pradesh,"24.323199162589155, 75.09684306102972",Van,Tractor,3,5,"35,65,32",Both,OR,Hit From Back
2184,May,27 May 23,Saturday,28 May 23,Kalapipal,Nil,Madhya Pradesh,"23.338487479479618, 76.84109290842527",Two Wheeler,Two Wheeler,3,1,NA,Both,OR,Head On Collision 
2185,May,27 May 23,Saturday,28 May 23,Bazarwada,Nil,Maharashtra,"20.9559731304577, 78.2432261280754",Two Wheeler,Truck,2,2,"27,1",Both,NH,With Parked Vehicle
2186,May,27 May 23,Saturday,28 May 23,Ghunki Phata,Nil,Maharashtra,"16.888652627320347, 74.29689048934819",Car,Road Roller,2,4,"30,28",Male,NH,Head On Collision 
2187,May,27 May 23,Saturday,28 May 23,Gangadevipalli,Nil,Andhra Pradesh,"14.974872964051963, 77.9708180280057",Car,Bus,1,0,65,Male,OR,Head On Collision 
2188,May,27 May 23,Saturday,29 May 23,Koraon,Nil,Uttar Pradesh,"24.99746969684642, 82.07063786109495",Tractor,Nil,4,3,"30,28,20,30",Both,NH,Run Off Road
2189,May,27 May 23,Saturday,29 May 23,Talera Bypas,Nil,Rajasthan,"25.3159040742894, 75.72513591395585",Two Wheeler,Car,2,0,"39,35",Both,OR,Head On Collision 
2190,May,28 May 23,Sunday,29 May 23,Anta-Mangrole Route,Nil,Rajasthan,"25.24145090449659, 76.4170516201448",Two Wheeler,Ditch,2,0,"70,25",Male,OR,Vehicle Overturn
2191,May,28 May 23,Sunday,29 May 23,Kharsia,Nil,Chhattisgarh,"21.99161539930445, 83.10276624312077",Two Wheeler,Truck,2,2,"30,28",Both,OR,Head On Collision 
2192,May,28 May 23,Sunday,29 May 23,Sumatia ,Nil,Uttar Pradesh,"25.15918784043028, 82.29764974462974",Two Wheeler,Truck,3,0,"21,22,21",Both,OR,Head On Collision 
2193,May,28 May 23,Sunday,29 May 23,Sanwara,Nil,Rajasthan,"24.723486672093372, 72.69215949811516",Pedestrian,Truck,1,0,12,Male,NH,Hit and Run
2194,May,28 May 23,Sunday,30 May 23,Alandi,Nil,Maharashtra,"18.671285439418426, 73.89176004586301",Two Wheeler,Truck,2,0,"76,53",Male,NH,Others
2195,May,28 May 23,Sunday,30 May 23,Oddanchatram,Nil,Tamil Nadu,"10.488928534399184, 77.75423363918173",Two Wheeler,Two Wheeler,4,0,NA,Male,OR,Head On Collision 
2196,May,30 May 23,Tuesday,30 May 23,Nagya-Sakya Dam,Nil,Maharashtra,"20.351560447588792, 74.61469924021402",Car,Nil,3,0,"50,25,4",Both,SH,Run Off Road
2197,May,29 May 23,Monday,30 May 23,Jalukbari,Nil,Assam,"26.142538562492177, 91.6433789711754",Car,Divider,7,6,NA,Both,NH,Fixed Object Collision
2198,May,29 May 23,Monday,30 May 23,Gate 2 Eco Park,Kolkata,West Bengal,"22.60023985705244, 88.47126723572954",Two Wheeler,Car,1,0,20,Female,NH,Hit From Back
2199,May,28 May 23,Sunday,30 May 23,Faguha,Nil,Uttar Pradesh,"26.996916394213308, 79.82457331197028",Car,Divider,4,0,NA,Both,NH,Hit and Run
2200,May,29 May 23,Monday,30 May 23,Kochbong,Nil,Jharkhand,"23.265102757441678, 85.35964941884438",Two Wheeler,Truck,2,0,"20,23",Male,NH,Head On Collision 
2201,May,29 May 23,Monday,30 May 23,Deulgaon,Nil,Maharashtra,"20.023097137337786, 76.05391096253284",Car,Crash Barrier,3,0,24,Male,NH,Fixed Object Collision
2202,May,30 May 23,Tuesday,30 May 23,Kotli Jhajjar,Nil,Jammu,"32.89352148056466, 74.95023232201062",Bus,Gorge,10,57,NA,Both,OR,Vehicle Overturn
2203,May,29 May 23,Monday,30 May 23,Brengi Nala,Nil,Jammu,"33.63836597789224, 75.18143463279759",Car,Nil,4,1,"56,56,60,65",Both,OR,Run Off Road
2204,May,28 May 23,Sunday,31 May 23,Mhalunge,Nil,Maharashtra,"18.741503255343982, 73.80679903280713",Two Wheeler,Truck,1,0,20,Male,OR,Hit From Back
2205,May,29 May 23,Monday,31 May 23,Nagpur Rural,Nil,Maharashtra,"21.022126387967447, 79.05837239652519",Two Wheeler,Truck,2,1,"26,55",Male,NH,Hit From Back
2206,May,29 May 23,Monday,31 May 23,Raigad,Nil,Maharashtra,"18.236795838980232, 73.43018324281921",Two Wheeler,Crash Barrier,3,0,"21,20,24",Male,OR,Fixed Object Collision
2207,May,30 May 23,Tuesday,31 May 23,Chasapada,Nil,Odisha,"20.207506530603148, 86.23957723738448",Two Wheeler,Truck,2,2,"26,1",Both,OR,Others
2208,May,30 May 23,Tuesday,31 May 23,Fakirtilla,Nil,Assam,"24.756062862717506, 92.79783840938212",Pedestrian,Car,1,0,60,Female,SH,Hit and Run
2209,June,29 May 23,Monday,1 Jun 23,Angamaly,Nil,Kerala,"10.206891963020581, 76.3816975284847",Two Wheeler,Truck,1,0,47,Male,NH,Hit From Back
2210,June,30 May 23,Tuesday,1 Jun 23,Dola ,Nil,Madhya Pradesh,"23.2207786763906, 82.1391344491615",Van,Wall,1,8,NA,NA,NH,Fixed Object Collision
2211,June,30 May 23,Tuesday,1 Jun 23,Merlapaka,Nil,Andhra Pradesh,"13.701738469291202, 79.61565202413612",Car,Bus,3,2,NA,Both,NH,Head On Collision 
2212,June,29 May 23,Monday,1 Jun 23,Dhana Kalan,Nil,Haryana,"29.08479135674568, 76.02049168666043",Car,Truck,5,0,NA,Both,NH,With Parked Vehicle
2213,June,31 May 23,Wednesday,1 Jun 23,Kardana Valley,Nil,Chhattisgarh,"22.906604242045166, 83.3411406397845",Auto Rickshaw,Gorge,4,2,NA,Both,OR,Vehicle Overturn
2214,June,29 May 23,Monday,1 Jun 23,Prahaladapura,Nil,Rajasthan,"26.729754265943544, 75.88821050471624",Truck,Nil,1,0,35,Male,NH,Run Off Road
2215,June,30 May 23,Tuesday,1 Jun 23,Bara Chowki,Nil,Uttarakhand,"28.867241360189695, 79.60380266975899",Two Wheeler,Truck,1,3,30,NA,NH,Others
2216,June,28 May 23,Sunday,1 Jun 23,Bhumi World,Nil,Maharashtra,"19.263252623284735, 73.07385798382778",Auto Rickshaw,Nil,3,4,NA,Both,NH,Run Off Road
2217,June,29 May 23,Monday,2 Jun 23,Konijerla,Nil,Telangana,"17.221873806921188, 80.28852864196776",Car,Truck,3,1,"39,35,13",Both,SH,Others
2218,June,1 Jun 23,Thursday,2 Jun 23,Chuttupalu,Nil,Jharkhand,"23.55822930484313, 85.51819526709328",Two Wheeler,Truck,1,4,NA,Male,NH,Head On Collision 
2219,June,31 May 23,Wednesday,2 Jun 23,Kesampet,Nil,Telangana,"16.952227067226254, 78.34649925869014",Tractor,Nil,2,0,NA,Male,OR,Run Off Road
2220,June,1 Jun 23,Thursday,3 Jun 23,Nemawar Road,Indore,Madhya Pradesh,"22.6816174328255, 75.91844288078036",Two Wheeler,Bus,3,0,NA,Male,SH,Head On Collision 
2221,June,31 May 23,Wednesday,3 Jun 23,Rishpur,Nil,Haryana,"29.375490482597172, 77.11159937852136",Pick Up,Truck,4,14,NA,Both,OR,Hit From Side
2222,June,3 Jun 23,Saturday,3 Jun 23,Pulicherla,Nil,Andhra Pradesh,"13.599974583481439, 79.04166918566283",SUV,Truck,4,8,NA,NA,SH,Head On Collision 
2223,June,4 Jun 23,Sunday,4 Jun 23,Alwalpur,Nil,Uttar Pradesh,"25.65614839446144, 84.00098268937968",Two Wheeler,Tractor,1,0,47,Male,OR,Others
2224,June,4 Jun 23,Sunday,4 Jun 23,Dehat,Nil,Uttar Pradesh,"27.430886099799, 82.18028626782547",Van,Nil,1,11,45,Female,NH,Run Off Road
2225,June,2 Jun 23,Friday,4 Jun 23,Dhamna,Nil,Maharashtra,"21.137338770033, 78.84364499167924",Pedestrian,Bus,1,0,10,Male,NH,Hit and Run
2226,June,2 Jun 23,Friday,4 Jun 23,Awasthi Nagar,Nagpur,Maharashtra,"21.18648474209671, 79.0697431617838",Two Wheeler,Car,1,0,16,Male,SH,Hit From Side
2227,June,2 Jun 23,Friday,4 Jun 23,Shirdi,Nil,Maharashtra,"19.845762413377276, 74.50046317872258",Car,Divider,3,0,"16,52,48",Male,OR,Fixed Object Collision
2228,June,5 Jun 23,Monday,5 Jun 23,Perambalur,Nil,Tamil Nadu,"11.230915053951833, 78.89193494330785",Ambulance,Van,3,5,"60,22,45",Both,NH,Hit From Side
2229,June,5 Jun 23,Monday,5 Jun 23,Jagtial,Nil,Telangana,"18.79004629083924, 78.91567433760554",Two Wheeler,Divider,2,0,NA,Male,NH,Fixed Object Collision
2230,June,3 Jun 23,Saturday,5 Jun 23,Kancheepuram,Nil,Tamil Nadu,"12.818942558404942, 79.6939373649415",SUV,Truck,5,1,"35,28,5,3",Both,SH,With Parked Vehicle
2231,June,3 Jun 23,Saturday,5 Jun 23,Rangwasa Road,Indore,Madhya Pradesh,"22.63910341870802, 75.80651258605481",Two Wheeler,Unidentified,1,3,NA,Both,OR,Hit and Run
2232,June,3 Jun 23,Saturday,5 Jun 23,Nagarda,Nil,Chhattisgarh,"22.09674098360512, 82.81789459589393",Two Wheeler,Car,1,1,32,Male,OR,Hit From Back
2233,June,3 Jun 23,Saturday,5 Jun 23,Mouda,Nil,Maharashtra,"21.15219895095875, 79.39686137048565",Two Wheeler,Truck,2,0,"60,16",Both,SH,Hit From Back
2234,June,6 Jun 23,Tuesday,6 Jun 23,Balichakra Cross,Nil,Karnataka,"16.677020159979705, 77.2576421846236",SUV,Lorry,5,13,"50,12,4,8,32",Both,NH,With Parked Vehicle
2235,June,4 Jun 23,Sunday,6 Jun 23,Mada Market,Bhopal,Madhya Pradesh,"23.277120236616327, 77.46591561454059",Two Wheeler,Truck,2,0,"26,1",Both,OR,Others
2236,June,4 Jun 23,Sunday,6 Jun 23,Rushikonda,Vizag,Andhra Pradesh,"17.791708971512524, 83.38208920437141",Two Wheeler,Tree,2,1,"28,24",Both,OR,Fixed Object Collision
2237,June,5 Jun 23,Monday,6 Jun 23,Meesalur Junction,Nil,Tamil Nadu,"9.552181595887037, 77.92605153296493",Two Wheeler,Bus,2,0,"26,30",Male,OR,Head On Collision 
2238,June,5 Jun 23,Monday,7 Jun 23,Narayan Temple Narhe,Pune,Maharashtra,"18.442636108492092, 73.83795009781468",Two Wheeler,Unidentified,1,1,28,Male,NH,Hit and Run
2239,June,5 Jun 23,Monday,7 Jun 23,Warje,Pune,Maharashtra,"18.487444956836356, 73.79553133382488",Van,Divider,1,0,21,Male,NH,Fixed Object Collision
2240,June,6 Jun 23,Tuesday,7 Jun 23,Kakra,Nil,Uttar Pradesh,"29.376789849487103, 77.57564302635546",Car,Nil,1,4,28,Male,OR,Run Off Road
2241,June,8 Jun 23,Thursday,8 Jun 23,Dol,Nil,Madhya Pradesh,"24.39397454147242, 82.184398592748",SUV,Truck,7,2,NA,NA,OR,Hit From Side
2242,June,7 Jun 23,Wednesday,8 Jun 23,Sikar Fatehpur,Nil,Rajasthan,"27.98310030694659, 74.95927813972753",Car,Truck,4,0,"28,27,27,34",Male,NH,Head On Collision 
2243,June,8 Jun 23,Thursday,9 Jun 23,Kalyanpur,Nil,Uttar Pradesh,"28.621003810007025, 79.88569340043732",Two Wheeler,Tree,2,1,"28,30",Male,OR,Fixed Object Collision
2244,June,8 Jun 23,Thursday,9 Jun 23,Hanuman Temple,Nil,Uttar Pradesh,"28.420436211949628, 80.61075215362085",Two Wheeler,SUV,4,0,"34,6,35",Both,SH,Others
2245,June,8 Jun 23,Thursday,9 Jun 23,Sector 105,Chandigarh,Punjab,"30.657921507594924, 76.68126626279295",Two Wheeler,Car,1,0,34,Male,OR,Others
2246,June,8 Jun 23,Thursday,9 Jun 23,Lalru,Nil,Punjab,"30.486880645140086, 76.79866452861589",Two Wheeler,Car,1,1,18,Male,NH,Others
2247,June,9 Jun 23,Friday,10 Jun 23,Dilippur,Nil,Uttar Pradesh,"25.900823158335076, 82.03348339821075",Pedestrian,Car,1,0,10,Male,OR,Hit and Run
2248,June,8 Jun 23,Thursday,10 Jun 23,NLU Crossing,Delhi,Delhi,"28.598511871145497, 77.022208942851",Two Wheeler,Car,3,2,"32,30,37",Both,OR,Hit From Back
2249,June,7 Jun 23,Wednesday,10 Jun 23,Sector 74,Nil,Haryana,"28.41172315510464, 77.01410199627452",Two Wheeler,Truck,1,1,21,Male,OR,Head On Collision 
2250,June,7 Jun 23,Wednesday,10 Jun 23,Paud Phata Flyover,Pune,Maharashtra,"18.506485494909512, 73.82415909499015",Two Wheeler,Unidentified,1,0,57,Male,NH,Hit and Run
2251,June,9 Jun 23,Friday,10 Jun 23,Dhar,Nil,Madhya Pradesh,"22.596254016898165, 75.3053349208528",Car,Divider,1,2,55,Male,SH,Fixed Object Collision
2252,June,9 Jun 23,Friday,10 Jun 23,Madora ,Nil,Uttar Pradesh,"27.696920279188575, 77.96077334358009",Pedestrian,Truck,3,2,"12,14,15",Male,OR,Hit and Run
2253,June,11 Jun 23,Sunday,11 Jun 23,Sector 62,Nil,Uttar Pradesh,"28.632289493423333, 77.36539524201442",Two Wheeler,Pick Up,2,0,"45,38",Male,NH,Others
2254,June,9 Jun 23,Friday,11 Jun 23,Sakalo ,Nil,Chhattisgarh,"23.185176355581998, 83.20007518788057",Two Wheeler,Tractor,2,0,"30,31",Male,SH,Hit From Back
2255,June,11 Jun 23,Sunday,11 Jun 23,SV Puram Toll Plaza,Nil,Andhra Pradesh,"13.525494674057821, 79.53284088005621",Car,Van,5,8,NA,NA,NH,Head On Collision 
2256,June,12 Jun 23,Monday,12 Jun 23,Khambale,Nil,Maharashtra,"19.959401850114677, 73.62838369715573",SUV,Wall,4,0,"55,65,50,40",Both,NH,Fixed Object Collision
2257,June,12 Jun 23,Monday,12 Jun 23,Ananthapalle,Nil,Telangana,"18.548883113647605, 78.92095323598625",Car,Lorry,7,2,NA,Both,OR,Head On Collision 
2258,June,10 Jun 23,Saturday,12 Jun 23,Tikri,Nil,Uttar Pradesh,"29.226897674090505, 77.35537421261732",Car,Tractor,2,0,"24,30",Male,OR,Head On Collision 
2259,June,10 Jun 23,Saturday,12 Jun 23,Baheri,Nil,Bihar,"25.842486533799722, 86.15846883478056",SUV,Truck,3,3,"25,16,14",Male,SH,With Parked Vehicle
2260,June,9 Jun 23,Friday,12 Jun 23,Jalan Industrial Complex,Nil,West Bengal,"22.596841299135423, 88.22499293827853",Two Wheeler,Truck,1,0,33,Male,NH,Hit From Back
2261,June,11 Jun 23,Sunday,12 Jun 23,Bassi,Nil,Rajasthan,"26.857110735518543, 76.05251985209249",SUV,Unidentified,1,7,51,Male,NH,Hit and Run
2262,June,11 Jun 23,Sunday,12 Jun 23,Varve,Nil,Maharashtra,"18.300659178926384, 73.87327571238676",Bus,Bus,2,11,"9,32",Both,NH,Others
2263,June,13 Jun 23,Tuesday,13 Jun 23,Khandala Ghat,Nil,Maharashtra,"18.766786409968578, 73.36808732810299",Truck,Nil,3,2,NA,NA,NH,Run Off Road
2264,June,11 Jun 23,Sunday,13 Jun 23,Narmadapuram,Nil,Madhya Pradesh,"22.745317860282693, 77.71886225449711",Car,Nil,1,2,NA,Male,SH,Vehicle Overturn
2265,June,11 Jun 23,Sunday,13 Jun 23,Dwarikapuri,Indore,Madhya Pradesh,"22.68975654233917, 75.81658010159019",Two Wheeler,Two Wheeler,2,0,"27,28",Male,OR,Others
2266,June,11 Jun 23,Sunday,13 Jun 23,Vanasthalipuram,Hyderabad,Telangana,"17.328789071705273, 78.57527231688721",Two Wheeler,Car,1,0,34,Male,OR,Head On Collision 
2267,June,13 Jun 23,Tuesday,14 Jun 23,Bilkhiriya Kalan,Nil,Madhya Pradesh,"23.256171756488932, 77.58396859018498",Car,Divider,1,1,36,Male,NH,Fixed Object Collision
2268,June,14 Jun 23,Wednesday,14 Jun 23,Chintapalle,Nil,Andhra Pradesh,"17.864449840793693, 82.35669410632896",Auto Rickshaw,Gorge,1,5,5,Male,SH,Vehicle Overturn
2269,June,12 Jun 23,Monday,14 Jun 23,Water Park,Nil,Uttar Pradesh,"26.90359105736207, 80.74522051742348",Two Wheeler,Truck,2,0,"19,16",Male,NH,Head On Collision 
2270,June,13 Jun 23,Tuesday,15 Jun 23,Basavanalagaddi,Nil,Karnataka,"16.458666461870724, 74.610610324329",Two Wheeler,Truck,3,0,"21,23,28",Male,NH,Head On Collision 
